2026-07-13 12:55:12.283 | INFO     | __main__:record:116 - tag=b24_drop5_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop5_scratch/
2026-07-13 12:55:12.336 | INFO     | __main__:record:116 - tag=b24_drop8_recover | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop8_recover/
2026-07-13 12:55:12.370 | INFO     | __main__:record:116 - tag=b24_drop8_scratch | decision=skip_incompat | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_b24_drop8_scratch/
2026-07-13 12:56:40.090 | INFO     | __main__:record:116 - tag=coreset_base | decision=ok | self_f1=0.749 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_base/checkpoint-10500
2026-07-13 12:58:08.359 | INFO     | __main__:record:116 - tag=coreset_rt_aum15 | decision=ok | self_f1=0.7487 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_aum15/checkpoint-5950
2026-07-13 12:59:36.663 | INFO     | __main__:record:116 - tag=coreset_rt_cart06 | decision=ok | self_f1=0.7349 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_cart06/checkpoint-6580
2026-07-13 13:01:05.100 | INFO     | __main__:record:116 - tag=coreset_rt_cl | decision=ok | self_f1=0.7461 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_cl/checkpoint-8382
2026-07-13 13:02:33.994 | INFO     | __main__:record:116 - tag=coreset_rt_el2n06 | decision=ok | self_f1=0.7416 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_el2n06/checkpoint-6580
2026-07-13 13:04:02.330 | INFO     | __main__:record:116 - tag=coreset_rt_forget | decision=ok | self_f1=0.7431 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_forget/checkpoint-6292
2026-07-13 13:05:30.823 | INFO     | __main__:record:116 - tag=coreset_rt_pvi06 | decision=ok | self_f1=0.751 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_coreset_rt_pvi06/checkpoint-6580
2026-07-13 13:06:59.682 | INFO     | __main__:record:116 - tag=e11_granite_tapt | decision=ok | self_f1=0.7529 | clean=True | serialize=v1 | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e11_granite_tapt/checkpoint-10500
2026-07-13 13:06:59.752 | INFO     | __main__:record:116 - tag=e12_granite_ls_s43 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e12_granite_ls_s43/
2026-07-13 13:06:59.755 | INFO     | __main__:record:116 - tag=e12_granite_ls_s44 | decision=skip_leak | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e12_granite_ls_s44/
Some weights of the model checkpoint at output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e16b_granite_ls_depth11/checkpoint-8312 were not used when initializing ModernBertForSequenceClassification: ['model.layers.0.attn_norm.weight']
- This IS expected if you are initializing ModernBertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing ModernBertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
2026-07-13 13:07:12.814 | INFO     | __main__:record:116 - tag=e16b_granite_ls_depth11 | decision=drop_lowf1 | self_f1=0.0451 | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e16b_granite_ls_depth11/checkpoint-8312
Some weights of the model checkpoint at output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e16b_granite_ls_depth14_v2/checkpoint-12468 were not used when initializing ModernBertForSequenceClassification: ['model.layers.0.attn_norm.weight']
- This IS expected if you are initializing ModernBertForSequenceClassification from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing ModernBertForSequenceClassification from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
2026-07-13 13:07:25.849 | INFO     | __main__:record:116 - tag=e16b_granite_ls_depth14_v2 | decision=drop_lowf1 | self_f1=0.1846 | serialize=richargs | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e16b_granite_ls_depth14_v2/checkpoint-12468
2026-07-13 13:07:26.141 | INFO     | __main__:record:116 - tag=e26s_ba_a70_T2 | decision=skip_no_serialize | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e26s_ba_a70_T2/
2026-07-13 13:07:26.155 | INFO     | __main__:record:116 - tag=e26s_t1_a70_T2 | decision=skip_no_serialize | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e26s_t1_a70_T2/
2026-07-13 13:07:26.209 | INFO     | __main__:record:116 - tag=e26s_t1_soft | decision=skip_no_serialize | source=output/pat/ft_ibm-granite__granite-embedding-311m-multilingual-r2_e26s_t1_soft/
